3.1657 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
72.1294 	EXP 	fixation: autoDraw = False
72.4128 	EXP 	grating: autoDraw = False
72.4316 	EXP 	window1: recordFrameIntervals = False
72.4326 	DATA 	Keypress: right
72.4461 	EXP 	fixation: autoDraw = False
72.4461 	EXP 	grating: autoDraw = False
72.4462 	EXP 	window1: recordFrameIntervals = False
73.4299 	EXP 	fixation: autoDraw = True
74.4298 	EXP 	fixation: autoDraw = False
74.4464 	EXP 	grating: autoDraw = True
74.4464 	EXP 	grating: tex = 'sin'
74.7463 	EXP 	grating: autoDraw = False
74.7486 	EXP 	window1: recordFrameIntervals = False
74.7499 	DATA 	Keypress: left
74.7631 	EXP 	fixation: autoDraw = False
74.7631 	EXP 	grating: autoDraw = False
74.7633 	EXP 	window1: recordFrameIntervals = False
75.7623 	EXP 	fixation: autoDraw = True
76.7472 	EXP 	grating: autoDraw = True
76.7472 	EXP 	grating: tex = 'sin'
76.7638 	EXP 	fixation: autoDraw = False
77.0469 	EXP 	grating: autoDraw = False
77.3328 	EXP 	window1: recordFrameIntervals = False
77.3341 	DATA 	Keypress: right
77.3469 	EXP 	fixation: autoDraw = False
77.3469 	EXP 	grating: autoDraw = False
77.3472 	EXP 	window1: recordFrameIntervals = False
78.3455 	EXP 	fixation: autoDraw = True
79.3464 	EXP 	fixation: autoDraw = False
79.3464 	EXP 	grating: autoDraw = True
79.3464 	EXP 	grating: tex = 'sin'
79.6466 	EXP 	grating: autoDraw = False
79.6985 	EXP 	window1: recordFrameIntervals = False
79.6997 	DATA 	Keypress: right
79.7131 	EXP 	fixation: autoDraw = False
79.7131 	EXP 	grating: autoDraw = False
79.7134 	EXP 	window1: recordFrameIntervals = False
80.6967 	EXP 	fixation: autoDraw = True
81.6972 	EXP 	fixation: autoDraw = False
81.6972 	EXP 	grating: autoDraw = True
81.6972 	EXP 	grating: tex = 'sin'
81.9972 	EXP 	grating: autoDraw = False
82.0332 	EXP 	window1: recordFrameIntervals = False
82.0344 	DATA 	Keypress: right
82.0471 	EXP 	fixation: autoDraw = False
82.0471 	EXP 	grating: autoDraw = False
82.0474 	EXP 	window1: recordFrameIntervals = False
83.1556 	EXP 	fixation: autoDraw = True
84.0528 	EXP 	grating: autoDraw = True
84.0528 	EXP 	grating: tex = 'sin'
84.1640 	EXP 	fixation: autoDraw = False
84.3640 	EXP 	grating: autoDraw = False
84.4667 	EXP 	window1: recordFrameIntervals = False
84.4680 	DATA 	Keypress: left
84.4805 	EXP 	fixation: autoDraw = False
84.4805 	EXP 	grating: autoDraw = False
84.4808 	EXP 	window1: recordFrameIntervals = False
85.4789 	EXP 	fixation: autoDraw = True
86.4804 	EXP 	fixation: autoDraw = False
86.4804 	EXP 	grating: autoDraw = True
86.4804 	EXP 	grating: tex = 'sin'
86.6656 	EXP 	window1: recordFrameIntervals = False
86.6665 	DATA 	Keypress: right
86.6800 	EXP 	fixation: autoDraw = False
86.6800 	EXP 	grating: autoDraw = False
86.6802 	EXP 	window1: recordFrameIntervals = False
87.6648 	EXP 	fixation: autoDraw = True
88.6802 	EXP 	fixation: autoDraw = False
88.6802 	EXP 	grating: autoDraw = True
88.6802 	EXP 	grating: tex = 'sin'
88.9803 	EXP 	grating: autoDraw = False
89.0983 	EXP 	window1: recordFrameIntervals = False
89.0992 	DATA 	Keypress: left
89.1133 	EXP 	fixation: autoDraw = False
89.1133 	EXP 	grating: autoDraw = False
89.1135 	EXP 	window1: recordFrameIntervals = False
90.1130 	EXP 	fixation: autoDraw = True
91.0972 	EXP 	grating: autoDraw = True
91.0972 	EXP 	grating: tex = 'sin'
91.1139 	EXP 	fixation: autoDraw = False
91.3974 	EXP 	grating: autoDraw = False
91.4496 	EXP 	window1: recordFrameIntervals = False
91.4507 	DATA 	Keypress: right
91.4642 	EXP 	fixation: autoDraw = False
91.4642 	EXP 	grating: autoDraw = False
91.4644 	EXP 	window1: recordFrameIntervals = False
92.4813 	EXP 	fixation: autoDraw = True
93.4476 	EXP 	grating: autoDraw = True
93.4476 	EXP 	grating: tex = 'sin'
93.4811 	EXP 	fixation: autoDraw = False
93.7474 	EXP 	grating: autoDraw = False
93.7996 	EXP 	window1: recordFrameIntervals = False
93.8008 	DATA 	Keypress: left
93.8139 	EXP 	fixation: autoDraw = False
93.8139 	EXP 	grating: autoDraw = False
93.8142 	EXP 	window1: recordFrameIntervals = False
94.8127 	EXP 	fixation: autoDraw = True
95.8146 	EXP 	fixation: autoDraw = False
95.8146 	EXP 	grating: autoDraw = True
95.8146 	EXP 	grating: tex = 'sin'
96.0659 	EXP 	window1: recordFrameIntervals = False
96.0670 	DATA 	Keypress: right
96.0802 	EXP 	fixation: autoDraw = False
96.0802 	EXP 	grating: autoDraw = False
96.0805 	EXP 	window1: recordFrameIntervals = False
97.0644 	EXP 	fixation: autoDraw = True
98.0637 	EXP 	fixation: autoDraw = False
98.0807 	EXP 	grating: autoDraw = True
98.0807 	EXP 	grating: tex = 'sin'
98.3491 	EXP 	window1: recordFrameIntervals = False
98.3502 	DATA 	Keypress: left
98.3641 	EXP 	fixation: autoDraw = False
98.3641 	EXP 	grating: autoDraw = False
98.3643 	EXP 	window1: recordFrameIntervals = False
99.3486 	EXP 	fixation: autoDraw = True
100.3637 	EXP 	fixation: autoDraw = False
100.3637 	EXP 	grating: autoDraw = True
100.3637 	EXP 	grating: tex = 'sin'
100.5819 	EXP 	window1: recordFrameIntervals = False
100.5829 	DATA 	Keypress: right
100.5967 	EXP 	fixation: autoDraw = False
100.5967 	EXP 	grating: autoDraw = False
100.5968 	EXP 	window1: recordFrameIntervals = False
101.5824 	EXP 	fixation: autoDraw = True
102.5798 	EXP 	grating: autoDraw = True
102.5798 	EXP 	grating: tex = 'sin'
102.5972 	EXP 	fixation: autoDraw = False
102.8807 	EXP 	grating: autoDraw = False
102.9654 	EXP 	window1: recordFrameIntervals = False
102.9662 	DATA 	Keypress: left
102.9804 	EXP 	fixation: autoDraw = False
102.9804 	EXP 	grating: autoDraw = False
102.9806 	EXP 	window1: recordFrameIntervals = False
103.9642 	EXP 	fixation: autoDraw = True
104.9640 	EXP 	fixation: autoDraw = False
104.9640 	EXP 	grating: autoDraw = True
104.9640 	EXP 	grating: tex = 'sin'
105.1829 	EXP 	window1: recordFrameIntervals = False
105.1839 	DATA 	Keypress: right
105.1971 	EXP 	fixation: autoDraw = False
